objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,Neighborhood,alternativ,name,provided_a,shape_area,shape_length
38,c99e1013-1508-4f3c-84da-ffdddc78eeb3,Jones Hall,0008A00159000000,Rridge Ave,808 Ridge Ave,485.6519767,Allegheny West,,Jones Hall,701 Brighton Rd,9535.993469,485.6526258
39,fbf314e9-1149-44b3-8117-eecf86d41dd7,National Negro Opera Company,0173N00087000000,Apple St,7101 Apple St,778.7864074,Homewood North,,National Negro Opera Company,,35625.84644,778.7861046
40,d5c6e258-47c0-4dca-adbb-68196cf0f86d,Emmanual Episcopal Church,0022S00131000002,W North Ave,957 W North Ave,352.7715803,Allegheny West,,Emmanual Episcopal Church,,7610.887817,352.7712622
41,cffbd129-0c25-4001-a8d7-a3d431c0eeb9,Mifflin Elementary School,0184J00032000000,Mifflin Rd,1290 Mifflin Rd,2650.856348,Lincoln Place,,Mifflin Elementary School,,295224.909,2650.856095
42,c12b5736-6b63-40c4-abb5-dc1f37ce1b3e,Paramount Pictures Film Exchange,0011J00328000000,Miltenberger St,544 Miltenberger St,328.3009219,Bluff,,Paramount Pictures Film Exchange,,5445.490723,328.3009703
43,47c078ae-7ed5-47ef-a74c-5102a3a57959,Allegheny Arsenal Area,0049K00062000000,Penn Ave,3901 Penn Ave,1970.161676,Lower Lawrenceville,,Allegheny Arsenal Area,3901-3959 Penn Ave,218940.6254,1970.161586
44,40a28298-0a3a-4638-ac95-f6b2081123ab,"Westinghouse High School (William ""Billy"" Strayho*",0125D00200000000,N Murtland St,1101 N Murtland St,2709.174761,Homewood West,,"Westinghouse High School (William ""Billy"" Strayho*",,367518.2697,2709.178515
45,4eea951b-0120-4f42-9d9b-3c5a269cf102,Woolslair Elementary Gifted Center,0049R00023000000,Cabinet St,4067 Cabinet St,260.3003067,Bloomfield,,Woolslair Elementary Gifted Center,,2521.242676,260.3011743
46,90476e05-d203-411f-9149-388991fe9c29,St. Mary's Academy,0049C00114000000,46th St,340 46th St,776.538897,Central Lawrenceville,,St. Mary's Academy,,29639.98395,776.538807
47,371e2f93-87e1-4888-b7de-4404f7c23ae1,Engine Company No. 28,0052D00346000000,Filbert St,700 Filbert St,,Shadyside,,Engine Company No. 28,,10518.93689,411.2879783
48,637b9198-260a-4125-b142-400e07630550,Shrine of Saint Anthony Padua (Most Holy Name of *,0047S00271000000,Tinsbury St,1515 Tinsbury St,855.2495239,Troy Hill,,Shrine of Saint Anthony Padua (Most Holy Name of *,,41018.94177,855.2489709
49,d38bafae-ed65-4c20-9767-50728e3fbe61,Stevens Elementary School (formerly Thaddeus Stev*,0019C00166000000,Crucible St,822 Crucible St,1043.537378,Elliott,,Stevens Elementary School (formerly Thaddeus Stev*,824 Crucible St,63281.57013,1043.537586
50,92351444-623d-4887-986f-4d8efa642c24,Malta Temple,0023K00411000000,W North Ave,102 W North Ave,442.4505856,Allegheny Center,,Malta Temple,100 W North Ave,7885.140564,442.4510045
51,f63cb216-4415-4ae4-8e1f-22c03b1cf8d5,Soldier's and Sailor's Memorial Hall,0027R00078000200,5th Ave,4101 5th Ave,1172.155468,North Oakland,,Soldier's and Sailor's Memorial Hall,4141 5th Ave,158157.567,1680.521127
52,18dc8b28-01b0-48d2-bbc1-0ce457b2babc,Garden Theatre,0023L00083000000,W North Ave,22-32 W North Ave,493.9993652,Allegheny Center,,Garden Theatre,12 W North Ave,11843.60303,493.9994176
54,8ba31ec6-aa3b-4964-935e-8ab7b6f272b1,Carrick Municipal Hall,0060L00241000000,Brownsville Rd,1806 Brownsville Rd,282.4761813,Carrick,,Carrick Municipal Hall,,3158.613342,282.4756035
55,f313e4ec-9b89-4b01-a5e0-04be3904eed5,Buhl Planetarium & Institute of Popular Science (*,0023R00104000000,Allegheny Sq,1 Allegheny Ave,810.2105563,North Shore,,Buhl Planetarium & Institute of Popular Science,,37471.66559,810.2098024
56,d972f869-d7fc-4e39-8d5a-2f7ddbd77f99,Woolslair Elementary School,0049R00236000000,40th St,501 40th St,732.5507761,Bloomfield,,Woolslair Elementary School,,32397.37634,732.5511065
57,7ca996fd-1f07-48e8-9b11-4b42b910b613,Sterrett Classical Academy (formerly Sterrett Sch*,0126L00170000000,Reynolds St,7100 Reynolds St,1325.882586,Point Breeze,,Sterrett Classical Academy (formerly Sterrett Classical Academy),,105148.4697,1325.881623
58,1b5f38a0-b29f-4f0b-ba6a-e03b190e4914,Monongahela Incline,0006H00031000000,Grandview Ave,1225 Grandview Ave,776.2736435,Mount Washington,,Monongahela Incline,,23815.99466,776.2741755
59,e71760ab-9131-4b74-9e1d-52714b0a6c12,"Carnegie Library of Pittsburgh, Lawrenceville Bra*",0049F00160000002,Fisk St,279 Fisk St,408.3336272,Central Lawrenceville,,"Carnegie Library of Pittsburgh, Lawrenceville Branch",,10029.56848,408.3327549
60,4a80f2ca-bb85-424d-b7b3-b3a933ecb977,Sheridan Homestead,0042S00014000000,Bergman St,2803 Bergman St,301.7858954,Sheraden,,Sheridan Homestead,,5121.952881,301.7860045
61,fc7ed799-fc23-4e23-8b9e-648495cc7769,Station Square,0001R00110000000,W Station Square Dr,100 W Station Square Dr,740.9566379,South Shore,,Station Square,,34744.311,740.9563253
62,ccab8d36-d7aa-452a-adff-bb8f3544c532,Centre Avenue YMCA (Frank Bolden Marker) (Robert *,0010M00154000000,Centre Ave,2621 Centre Ave,562.3681638,Middle Hill,,Centre Avenue YMCA (Frank Bolden Marker),,19413.74164,562.36801
63,a003cb71-a4b5-4f4f-a441-444c7464a359,Concord Elementary School,0095M00340000000,Brownsville Rd,2350 Brownsville Rd,1346.1822,Carrick,,Concord Elementary School,2340 Brownsville Rd,121002.2635,1346.182838
64,2c47b76e-2ea1-4f35-a64d-fd19596e6195,John Woods House,0055P00037000000,Monongahela St,4604 Monongahela St,325.0595957,Hazelwood,,John Woods House,,5863.956696,325.0601382
